Source,Sink,Dependency,Prototype,Arcan
AccessClassVariable,CheckInDAO,accessField,1,1
AccessClassVariableConstant,UserDAO,accessField,1,1
AccessClassVariableInterface,ISierraDAO,accessField,1,1
AccessEnumeration,TipDAO,accessField,1,1
AccessInstanceVariableRead,ProfileDAO,accessField,0,1
AccessInstanceVariableWrite,ProfileDAO,accessField,0,1
AccessInstanceVariableConstant,UserDAO,accessField,0,1
AccessInstanceVariableSuperClass,CallInstanceSuperClassDAO,accessField,0,0
AccessInstanceVariableSuperSuperClass,CallInstanceSuperClassDAO,accessField,0,0
AccessObjectReferenceAsParameter,Base,accessField,1,0
AccessObjectReferenceWithinIfStatement,Base,accessField,1,0
AnnotationDependency,SettingsAnnotation,usesType,1,1
CallClassMethod,BadgesDAO,calls,1,1
CallConstructor,AccountDAO,usesType,1,1
CallInstance,ProfileDAO,calls,0,0
CallInstanceInnerClass,CallInstanceOuterClassDAO,calls,0,0
CallInstanceInterface,CallInstanceInterfaceDAO,calls,0,0
CallInstanceSuperClass,CallInstanceSuperClassDAO,calls,0,1
CallInstanceSuperSuperClass,CallInstanceSuperClassDAO,calls,0,1
DeclarationExceptionThrows,StaticsException,throwsType,1,1
DeclarationParameter,ProfileDAO,usesType,1,1
DeclarationReturnType,VenueDAO,usesType,1,1
DeclarationTypeCast,ProfileDAO,castsType,1,1
DeclarationTypeCastOfArgument,ProfileDAO,castsType,1,1
DeclarationVariableInstance,ProfileDAO,usesType,1,1
DeclarationVariableLocal,ProfileDAO,usesType,1,1
DeclarationVariableLocal_Initialized,ProfileDAO,usesType,1,1
DeclarationVariableStatic,ProfileDAO,usesType,1,1
domain.direct.violating,AccountDAO,includes,1,0
InheritanceExtends,HistoryDAO,isChildOf,1,1
InheritanceExtendsAbstractClass,FriendsDAO,isChildOf,1,1
InheritanceImplementsInterface,IMapDAO,isImplementationOf,1,1
